Particle,n_H,n_g,T_gas,T_dust,chi,F_X
252,3.16228E+05,6.32456E-07,7.42342E+02,1.32973E+02,9.99758E+04,0.00000E+00
253,3.16228E+05,6.32456E-07,7.42341E+02,1.32973E+02,9.99755E+04,0.00000E+00
254,3.16228E+05,6.32456E-07,7.42340E+02,1.32972E+02,9.99752E+04,0.00000E+00
255,3.16228E+05,6.32456E-07,7.42339E+02,1.32972E+02,9.99749E+04,0.00000E+00
256,3.16228E+05,6.32456E-07,7.42339E+02,1.32972E+02,9.99746E+04,0.00000E+00
257,3.16228E+05,6.32456E-07,7.42338E+02,1.32972E+02,9.99743E+04,0.00000E+00
258,3.16228E+05,6.32456E-07,7.42337E+02,1.32972E+02,9.99740E+04,0.00000E+00
259,3.16228E+05,6.32456E-07,7.42336E+02,1.32972E+02,9.99737E+04,0.00000E+00
260,3.16228E+05,6.32456E-07,7.42336E+02,1.32972E+02,9.99734E+04,0.00000E+00
261,3.16228E+05,6.32456E-07,7.42335E+02,1.32972E+02,9.99731E+04,0.00000E+00
262,3.16228E+05,6.32456E-07,7.42334E+02,1.32972E+02,9.99728E+04,0.00000E+00
263,3.16228E+05,6.32456E-07,7.42333E+02,1.32972E+02,9.99725E+04,0.00000E+00
264,3.16228E+05,6.32456E-07,7.42333E+02,1.32972E+02,9.99722E+04,0.00000E+00
265,3.16228E+05,6.32456E-07,7.42332E+02,1.32972E+02,9.99719E+04,0.00000E+00
266,3.16228E+05,6.32456E-07,7.42331E+02,1.32972E+02,9.99716E+04,0.00000E+00
267,3.16228E+05,6.32456E-07,7.42330E+02,1.32971E+02,9.99713E+04,0.00000E+00
268,3.16228E+05,6.32456E-07,7.42330E+02,1.32971E+02,9.99710E+04,0.00000E+00
269,3.16228E+05,6.32456E-07,7.42329E+02,1.32971E+02,9.99707E+04,0.00000E+00
270,3.16228E+05,6.32456E-07,7.42328E+02,1.32971E+02,9.99704E+04,0.00000E+00
271,3.16228E+05,6.32456E-07,7.42327E+02,1.32971E+02,9.99701E+04,0.00000E+00
272,3.16228E+05,6.32456E-07,7.42327E+02,1.32971E+02,9.99698E+04,0.00000E+00
273,3.16228E+05,6.32456E-07,7.42319E+02,1.32970E+02,9.99668E+04,0.00000E+00
274,3.16228E+05,6.32456E-07,7.42312E+02,1.32970E+02,9.99638E+04,0.00000E+00
275,3.16228E+05,6.32456E-07,7.42304E+02,1.32969E+02,9.99607E+04,0.00000E+00
